period_id,seed_metric,routes,observations,share_mae_pp,passenger_error_pct
2025M01,seats,224.0,571.0,1.453677156670321,4.299476158645985
2025M02,seats,210.0,534.0,1.7691772765530276,5.22279696504386
2025M03,seats,228.0,593.0,1.4239758405078395,4.269531814127602
2025M04,seats,212.0,550.0,1.5555527235319602,4.73677300728597
2025M05,seats,190.0,491.0,1.3605309256552336,4.177791025832321
2025M06,seats,197.0,503.0,1.0134736331508836,3.1609592218807747
2025M07,seats,189.0,486.0,1.2263719140810998,3.801715271717399
2025M08,seats,198.0,512.0,1.3846647313137008,4.390884798704834
2025M09,seats,140.0,349.0,1.7679154376430954,5.09130260074333
2025M10,seats,168.0,430.0,1.368666215012969,4.079669769225241
2025M11,seats,192.0,484.0,1.380119570597964,4.1296662611788655
2025M12,seats,239.0,615.0,1.0680379371304456,3.1718671706342687
