period_id,carrier_name,pasajeros
2025M03,Mexicana (Aerolínea del Estado Mexicano),27996
2025M03,Transportes Aéreos Regionales (TAR),17392
2025M03,Vivaaerobus (Aeroenlaces),2025222
2025M03,Volaris (Concesionaria Vuela Cia de Aviación),1816272
2026M01,Aeroméxico (Aerovías de México),948396
2026M01,Aeroméxico Connect (Aerolitoral),325283
2026M01,Aerus,1989
2026M01,Magnicharters (Grupo Aéreo Monterrey),13074
2026M01,Mexicana (Aerolínea del Estado Mexicano),42369
2026M01,Transportes Aéreos Regionales (TAR),19251
2026M01,Vivaaerobus (Aeroenlaces),2040193
2026M01,Volaris (Concesionaria Vuela Cia de Aviación),1792693
2026M02,Aeroméxico (Aerovías de México),824744
2026M02,Aeroméxico Connect (Aerolitoral),311271
2026M02,Aerus,2375
2026M02,Magnicharters (Grupo Aéreo Monterrey),7484
2026M02,Mexicana (Aerolínea del Estado Mexicano),31732
2026M02,Transportes Aéreos Regionales (TAR),14886
2026M02,Vivaaerobus (Aeroenlaces),1748684
2026M02,Volaris (Concesionaria Vuela Cia de Aviación),1536254
