period_id,carrier_name,vuelos
2026M02,Volaris (Concesionaria Vuela Cia de Aviación),9486
2026M03,Aeroméxico (Aerovías de México),7036
2026M03,Aeroméxico Connect (Aerolitoral),4114
2026M03,Aerus,534
2026M03,Mexicana (Aerolínea del Estado Mexicano),687
2026M03,Transportes Aéreos Regionales (TAR),586
2026M03,Vivaaerobus (Aeroenlaces),13265
2026M03,Volaris (Concesionaria Vuela Cia de Aviación),11057
2026M04,Aeroméxico (Aerovías de México),7251
2026M04,Aeroméxico Connect (Aerolitoral),3716
2026M04,Aerus,531
2026M04,Mexicana (Aerolínea del Estado Mexicano),654
2026M04,Transportes Aéreos Regionales (TAR),519
2026M04,Vivaaerobus (Aeroenlaces),13502
2026M04,Volaris (Concesionaria Vuela Cia de Aviación),11446
2026M05,Aeroméxico (Aerovías de México),7402
2026M05,Aeroméxico Connect (Aerolitoral),3817
2026M05,Aerus,496
2026M05,Mexicana (Aerolínea del Estado Mexicano),682
2026M05,Transportes Aéreos Regionales (TAR),510
2026M05,Vivaaerobus (Aeroenlaces),13625
2026M05,Volaris (Concesionaria Vuela Cia de Aviación),11343
2026M06,Aeroméxico (Aerovías de México),6233
2026M06,Aeroméxico Connect (Aerolitoral),3775
2026M06,Aerus,506
2026M06,Mexicana (Aerolínea del Estado Mexicano),694
2026M06,Transportes Aéreos Regionales (TAR),449
2026M06,Vivaaerobus (Aeroenlaces),13303
2026M06,Volaris (Concesionaria Vuela Cia de Aviación),11712
2026M07,Aeroméxico (Aerovías de México),7092
2026M07,Aeroméxico Connect (Aerolitoral),3376
2026M07,Aerus,507
2026M07,Mexicana (Aerolínea del Estado Mexicano),848
2026M07,Transportes Aéreos Regionales (TAR),510
2026M07,Vivaaerobus (Aeroenlaces),14677
2026M07,Volaris (Concesionaria Vuela Cia de Aviación),13928
