carrier_identity,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,carrier,carrier_name,carrier_key
AIRLINE_ID_20195,20195,WI,Sky Lease Cargo,16884,WI,Sky Lease Cargo,BTS_AIRLINE_ID_20195
AIRLINE_ID_20201,20201,AMQ,Ameristar Air Cargo,16057,AMQ,Ameristar Air Cargo,BTS_AIRLINE_ID_20201
AIRLINE_ID_20203,20203,FCQ,Falcon Air Express,16400,FCQ,Falcon Air Express,BTS_AIRLINE_ID_20203
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,06144,XP,TEM Enterprises dba  Avelo Airlines,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,06144,XP,XTRA Airways,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,11034,XP,XTRA Airways,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,16144,XP,TEM Enterprises dba  Avelo Airlines,BTS_AIRLINE_ID_20207
AIRLINE_ID_20222,20222,E7,Estafeta Carga Aereas,9148U,E7,Estafeta Carga Aereas,BTS_AIRLINE_ID_20222
AIRLINE_ID_20229,20229,WS,Westjet,9900Y,WS,Westjet,BTS_AIRLINE_ID_20229
AIRLINE_ID_20250,20250,5D,Aerolitoral,9148W,5D,Aerolitoral,BTS_AIRLINE_ID_20250
AIRLINE_ID_20304,20304,OO,SkyWest Airlines Inc.,11025,OO,SkyWest Airlines Inc.,BTS_AIRLINE_ID_20304
AIRLINE_ID_20308,20308,WE,Centurion Cargo Inc.,16180,WE,Centurion Cargo Inc.,BTS_AIRLINE_ID_20308
AIRLINE_ID_20310,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16076,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",BTS_AIRLINE_ID_20310
AIRLINE_ID_20310,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16076,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",BTS_AIRLINE_ID_20310
AIRLINE_ID_20313,20313,W8,Cargojet Airways Ltd.,9900W,W8,Cargojet Airways Ltd.,BTS_AIRLINE_ID_20313
AIRLINE_ID_20327,20327,7H,NEW PACIFIC AIRLINES,11063,7H,NEW PACIFIC AIRLINES,BTS_AIRLINE_ID_20327
AIRLINE_ID_20340,20340,K5,"Seaport Airlines, Inc.",06966,K5,"SeaPort Airlines, Inc. d/b/a Wings of Alaska",BTS_AIRLINE_ID_20340
AIRLINE_ID_20340,20340,K5,"Seaport Airlines, Inc.",06966,K5,"Seaport Airlines, Inc.",BTS_AIRLINE_ID_20340
AIRLINE_ID_20348,20348,XL,Lan Ecuador,9337E,XL,Lan Ecuador,BTS_AIRLINE_ID_20348
AIRLINE_ID_20355,20355,US,US Airways Inc.,12041,US,US Airways Inc.,BTS_AIRLINE_ID_20355
AIRLINE_ID_20366,20366,EV,ExpressJet Airlines LLC d/b/a aha!,16085,EV,ExpressJet Airlines Inc.,BTS_AIRLINE_ID_20366
AIRLINE_ID_20366,20366,EV,ExpressJet Airlines LLC d/b/a aha!,16085,EV,ExpressJet Airlines LLC,BTS_AIRLINE_ID_20366
AIRLINE_ID_20368,20368,G4,Allegiant Air,06035,G4,Allegiant Air,BTS_AIRLINE_ID_20368
AIRLINE_ID_20368,20368,G4,Allegiant Air,11024,G4,Allegiant Air,BTS_AIRLINE_ID_20368
AIRLINE_ID_20370,20370,KAQ,Kalitta Air LLC,06683,KAQ,Kalitta Air LLC,BTS_AIRLINE_ID_20370
AIRLINE_ID_20370,20370,KAQ,Kalitta Air LLC,16683,KAQ,Kalitta Air LLC,BTS_AIRLINE_ID_20370
AIRLINE_ID_20372,20372,KLQ,Kalitta Charters II,06774,KLQ,Kalitta Charters II,BTS_AIRLINE_ID_20372
AIRLINE_ID_20372,20372,KLQ,Kalitta Charters II,16770,KLQ,Kalitta Charters II,BTS_AIRLINE_ID_20372
AIRLINE_ID_20377,20377,X9,Omni Air International LLC,06738,X9,Omni Air International LLC,BTS_AIRLINE_ID_20377
AIRLINE_ID_20377,20377,X9,Omni Air International LLC,16736,X9,Omni Air International LLC,BTS_AIRLINE_ID_20377
AIRLINE_ID_20378,20378,YV,Mesa Airlines Inc.,11022,YV,Mesa Airlines Inc.,BTS_AIRLINE_ID_20378
AIRLINE_ID_20392,20392,EK,Emirates,9678A,EK,Emirates,BTS_AIRLINE_ID_20392
AIRLINE_ID_20398,20398,MQ,Envoy Air,16820,MQ,Envoy Air,BTS_AIRLINE_ID_20398
AIRLINE_ID_20402,20402,GL,Miami Air International,16690,GL,Miami Air International,BTS_AIRLINE_ID_20402
AIRLINE_ID_20405,20405,N8,National Air Cargo Group Inc d/ba National Airlines,07029,N8,National Air Cargo Group Inc d/ba National Airlines,BTS_AIRLINE_ID_20405
AIRLINE_ID_20405,20405,N8,National Air Cargo Group Inc d/ba National Airlines,11049,N8,National Air Cargo Group Inc d/ba National Airlines,BTS_AIRLINE_ID_20405
