carrier_identity,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,carrier,carrier_name,carrier_key
AIRLINE_ID_22016,22016,TEQ,TAG Aviation (Malta) Ltd.,71209,TEQ,TAG Aviation (Malta) Ltd.,BTS_AIRLINE_ID_22016
AIRLINE_ID_22020,22020,GEQ,"Gestair, S.A.",71210,GEQ,"Gestair, S.A.",BTS_AIRLINE_ID_22020
AIRLINE_ID_22025,22025,KFQ,Skyfirst Limited,71211,KFQ,Skyfirst Limited,BTS_AIRLINE_ID_22025
AIRLINE_ID_22035,22035,LDQ,Sparfell Luftfahrt GmbH,71213,LDQ,Sparfell Luftfahrt GmbH,BTS_AIRLINE_ID_22035
AIRLINE_ID_22048,22048,JCO,Concierge U Ltd. d/b/a Jet Concierge Club,71218,JCO,Concierge U Ltd. d/b/a Jet Concierge Club,BTS_AIRLINE_ID_22048
AIRLINE_ID_22052,22052,EAU,Elitavia Malta Limited,71219,EAU,Elitavia Malta Limited,BTS_AIRLINE_ID_22052
AIRLINE_ID_22061,22061,WGT,Volkswagen AirSevice GmbH dba Volkswagon,71222,WGT,Volkswagen AirSevice GmbH dba Volkswagon,BTS_AIRLINE_ID_22061
AIRLINE_ID_22062,22062,HYP,Hyperion Aviation Ltd. dba Hyperion,71223,HYP,Hyperion Aviation Ltd. dba Hyperion,BTS_AIRLINE_ID_22062
AIRLINE_ID_22074,22074,AOQ,Avcon Jet AG,71241,AOQ,Avcon Jet AG,BTS_AIRLINE_ID_22074
AIRLINE_ID_22077,22077,HAQ,Hamilton Jetport Limited,71243,HAQ,Hamilton Jetport Limited,BTS_AIRLINE_ID_22077
AIRLINE_ID_22080,22080,MX,Breeze Aviation Group DBA  Breeze,01268,MX,Breeze Aviation Group DBA  Breeze,BTS_AIRLINE_ID_22080
AIRLINE_ID_22080,22080,MX,Breeze Aviation Group DBA  Breeze,11066,MX,Breeze Aviation Group DBA  Breeze,BTS_AIRLINE_ID_22080
AIRLINE_ID_22081,22081,TQ,"Tailwind Air, LLC",01269,TQ,"Tailwind Air, LLC",BTS_AIRLINE_ID_22081
AIRLINE_ID_22085,22085,GCA,"Global Crossing Airlines, Inc.",01287,GCA,"Global Crossing Airlines, Inc.",BTS_AIRLINE_ID_22085
AIRLINE_ID_22085,22085,GCA,"Global Crossing Airlines, Inc.",19768,GCA,"Global Crossing Airlines, Inc.",BTS_AIRLINE_ID_22085
AIRLINE_ID_22090,22090,4Y,Eurowings Discover GmbH,71256,4Y,Eurowings Discover GmbH,BTS_AIRLINE_ID_22090
AIRLINE_ID_22097,22097,GJQ,GainJet Ireland Ltd,71263,GJQ,GainJet Ireland Ltd,BTS_AIRLINE_ID_22097
AIRLINE_ID_22099,22099,PTQ,Pontair Ltd.,71265,PTQ,Pontair Ltd.,BTS_AIRLINE_ID_22099
AIRLINE_ID_22115,22115,SWQ,Swiss Private Jet S.A.,71279,SWQ,Swiss Private Jet S.A.,BTS_AIRLINE_ID_22115
AIRLINE_ID_22120,22120,QFX,Sparfell Malta Ltd,71283,QFX,Sparfell Malta Ltd,BTS_AIRLINE_ID_22120
AIRLINE_ID_22121,22121,HUQ,Haute Aviation,71284,HUQ,Haute Aviation,BTS_AIRLINE_ID_22121
AIRLINE_ID_22122,22122,XQQ,AXIS Aviation Switzerland AG,71285,XQQ,AXIS Aviation Switzerland AG,BTS_AIRLINE_ID_22122
AIRLINE_ID_22125,22125,AQX,Axis Aviation GmbH,71289,AQX,Axis Aviation GmbH,BTS_AIRLINE_ID_22125
AIRLINE_ID_22129,22129,W2,FlexFlight AsP,71293,W2,FlexFlight AsP,BTS_AIRLINE_ID_22129
ENTITY_K8,,,,,K8,,BTS_ENTITY_K8
AIRLINE_ID_19790,19790,DL,Delta Air Lines Inc.,10260,DL,Delta Air Lines Inc.,DELTA
AIRLINE_ID_21342,21342,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",71070,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",VIVA_AEROBUS
AIRLINE_ID_21351,21351,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),71072,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),VOLARIS
